Date,Time_24hr,Site,Number,Weather,Recorder
20230227,10:30,Huajiang_bridge,1,Sunny,Gen_Chang_Hsu
20230228,11:00,Huajiang_bridge,3,Sunny,Gen_Chang_Hsu
20230301,9:30,Huajiang_bridge,0,Cloudy,Gen_Chang_Hsu
20230302,11:30,Huajiang_bridge,3,Cloudy,Gen_Chang_Hsu
20230303,9:30,Huajiang_bridge,4,Sunny,Gen_Chang_Hsu
20230307,10:00,Huajiang_bridge,0,Sunny,Gen_Chang_Hsu
20230308,9:30,Huajiang_bridge,0,Sunny,Gen_Chang_Hsu
20230309,10:00,Huajiang_bridge,0,Sunny,Gen_Chang_Hsu
20230310,9:00,Huajiang_bridge,0,Sunny,Gen_Chang_Hsu
20230311,10:30,Huajiang_bridge,0,Sunny,Gen_Chang_Hsu
20230312,11:00,Huajiang_bridge,0,Sunny,Gen_Chang_Hsu
20230313,9:30,Huajiang_bridge,0,Cloudy,Gen_Chang_Hsu
20230314,10:30,Huajiang_bridge,0,Sunny_with_cloud,Gen_Chang_Hsu
20230315,9:30,Huajiang_bridge,0,Sunny_with_cloud,Gen_Chang_Hsu
20230316,10:30,Huajiang_bridge,0,Cloudy,Gen_Chang_Hsu
20230316,10:30,Fuhe_bridge,1,Cloudy,Gen_Chang_Hsu
20230317,9:00,Huajiang_bridge,0,Cloudy,Gen_Chang_Hsu
20230318,10:00,Huajiang_bridge,0,Cloudy,Gen_Chang_Hsu
20230318,10:30,Huazhong_bridge,1,Cloudy,Gen_Chang_Hsu
20230319,10:00,Huajiang_bridge,0,Cloudy,Gen_Chang_Hsu
20230319,10:30,Huazhong_bridge,2,Cloudy,Gen_Chang_Hsu
20230320,9:00,Huajiang_bridge,0,Sunny,Gen_Chang_Hsu
20230320,9:30,Huazhong_bridge,1,Sunny,Gen_Chang_Hsu
20230324,9:30,Huajiang_bridge,0,Cloudy,Gen_Chang_Hsu
20230324,10:00,Huazhong_bridge,1,Cloudy,Gen_Chang_Hsu
20230325,10:00,Huajiang_bridge,0,Cloudy,Gen_Chang_Hsu
20230325,10:30,Huazhong_bridge,1,Cloudy,Gen_Chang_Hsu
20230326,9:30,Huajiang_bridge,0,Cloudy,Gen_Chang_Hsu
20230326,10:00,Zhongzheng_bridge,1,Cloudy,Gen_Chang_Hsu
20230327,9:30,Zhongzheng_bridge,3,Cloudy,Gen_Chang_Hsu
20230328,11:00,Huajiang_bridge,0,Cloudy,Gen_Chang_Hsu
20230329,9:30,Huajiang_bridge,0,Cloudy,Gen_Chang_Hsu
20230329,9:00,Zhongxiao_bridge,1,Cloudy,Gen_Chang_Hsu
20230330,9:00,Huajiang_bridge,0,Cloudy,Gen_Chang_Hsu
20230331,9:00,Huajiang_bridge,2,Cloudy,Gen_Chang_Hsu
20230401,12:30,Huajiang_bridge,0,Cloudy,Gen_Chang_Hsu
20230404,10:30,Huajiang_bridge,2,Sunny_with_cloud,Gen_Chang_Hsu
20230405,9:30,Huajiang_bridge,0,Sunny,Gen_Chang_Hsu
20230406,9:30,Huajiang_bridge,0,Cloudy,Gen_Chang_Hsu
20230408,10:30,Huajiang_bridge,0,Cloudy,Gen_Chang_Hsu
20230409,10:30,Huajiang_bridge,0,Cloudy,Gen_Chang_Hsu
20230410,9:30,Huajiang_bridge,0,Sunny,Gen_Chang_Hsu
20230410,9:30,Zhongzheng_bridge,1,Sunny,Gen_Chang_Hsu
20230413,10:30,Huajiang_bridge,0,Sunny,Gen_Chang_Hsu
20230414,9:30,Huajiang_bridge,0,Sunny,Gen_Chang_Hsu
20230416,10:00,Huajiang_bridge,0,Sunny,Gen_Chang_Hsu
20230417,9:30,Huajiang_bridge,0,Sunny,Gen_Chang_Hsu
20230419,9:30,Huajiang_bridge,0,Sunny,Gen_Chang_Hsu
20230420,10:30,Huajiang_bridge,0,Cloudy,Gen_Chang_Hsu
20230421,9:30,Huajiang_bridge,0,Cloudy,Gen_Chang_Hsu
20230422,10:30,Huajiang_bridge,1,Cloudy,Gen_Chang_Hsu
20230422,10:30,Huazhong_bridge,1,Cloudy,Gen_Chang_Hsu
20230423,11:30,Huajiang_bridge,1,Cloudy,Gen_Chang_Hsu
20230424,9:30,Huajiang_bridge,0,Rainy,Gen_Chang_Hsu
20230425,10:30,Huajiang_bridge,2,Cloudy,Gen_Chang_Hsu
20230426,9:00,Huajiang_bridge,0,Cloudy,Gen_Chang_Hsu
20230427,9:00,Huajiang_bridge,0,Cloudy,Gen_Chang_Hsu
20230512,11:30,Huajiang_bridge,3,Cloudy,Gen_Chang_Hsu
20230513,12:00,Huajiang_bridge,0,Cloudy,Gen_Chang_Hsu
20230514,10:00,Huajiang_bridge,2,Cloudy,Gen_Chang_Hsu
20230514,10:00,Huazhong_bridge,3,Cloudy,Gen_Chang_Hsu
20230515,9:00,Huajiang_bridge,0,Cloudy,Gen_Chang_Hsu
20230516,8:00,Huajiang_bridge,0,Sunny,Gen_Chang_Hsu
20230517,9:30,Huajiang_bridge,0,Sunny,Gen_Chang_Hsu
20230518,9:30,Huajiang_bridge,1,Sunny,Gen_Chang_Hsu
20230519,10:30,Huajiang_bridge,0,Rainy,Gen_Chang_Hsu
20230521,10:00,Huajiang_bridge,0,Cloudy,Gen_Chang_Hsu
20230522,10:30,Huajiang_bridge,0,Sunny,Gen_Chang_Hsu
20230523,9:00,Huajiang_bridge,3,Cloudy,Gen_Chang_Hsu
20230524,9:30,Huazhong_bridge,1,Cloudy,Gen_Chang_Hsu
20230525,11:00,Huajiang_bridge,1,Cloudy,Gen_Chang_Hsu
20230526,9:30,Huajiang_bridge,0,Sunny,Gen_Chang_Hsu
20230527,10:30,Huajiang_bridge,2,Sunny,Gen_Chang_Hsu
20230528,11:00,Huajiang_bridge,4,Sunny,Gen_Chang_Hsu
20230529,9:30,Huajiang_bridge,1,Sunny,Gen_Chang_Hsu
20230530,10:00,Huajiang_bridge,2,Cloudy,Gen_Chang_Hsu
20230531,10:00,Huajiang_bridge,0,Rainy,Gen_Chang_Hsu
20230601,9:30,Huajiang_bridge,0,Rainy,Gen_Chang_Hsu
20230602,9:30,Huajiang_bridge,0,Sunny_with_cloud,Gen_Chang_Hsu
20230602,10:00,Zhongzheng_bridge,1,Sunny_with_cloud,Gen_Chang_Hsu
20230603,10:00,Huajiang_bridge,6,Sunny,Gen_Chang_Hsu
20230604,11:00,Huajiang_bridge,1,Cloudy,Gen_Chang_Hsu
20230604,10:30,Taipei_bridge,1,Cloudy,Gen_Chang_Hsu
20230605,10:00,Huajiang_bridge,0,Cloudy,Gen_Chang_Hsu
20230606,9:30,Huajiang_bridge,0,Sunny,Gen_Chang_Hsu
20230607,9:30,Huajiang_bridge,0,Sunny,Gen_Chang_Hsu
20230609,9:30,Huajiang_bridge,0,Cloudy,Gen_Chang_Hsu
20230610,10:30,Huajiang_bridge,1,Cloudy,Gen_Chang_Hsu
20230611,10:30,Huajiang_bridge,1,Rainy,Gen_Chang_Hsu
20230612,10:00,Huajiang_bridge,0,Cloudy,Gen_Chang_Hsu
20230613,10:00,Huajiang_bridge,7,Sunny,Gen_Chang_Hsu
20230614,10:00,Huajiang_bridge,0,Cloudy,Gen_Chang_Hsu
20230615,11:00,Huajiang_bridge,0,Cloudy,Gen_Chang_Hsu
20230616,10:00,Huajiang_bridge,1,Cloudy,Gen_Chang_Hsu
20230617,10:30,Huajiang_bridge,0,Cloudy,Gen_Chang_Hsu
20230618,10:30,Huajiang_bridge,0,Cloudy,Gen_Chang_Hsu
20230619,9:00,Huajiang_bridge,0,Cloudy,Gen_Chang_Hsu
20230620,10:00,Huajiang_bridge,5,Sunny,Gen_Chang_Hsu
20230620,10:30,Huazhong_bridge,2,Sunny,Gen_Chang_Hsu
20230621,9:30,Huajiang_bridge,1,Sunny,Gen_Chang_Hsu
20230622,9:30,Huajiang_bridge,0,Sunny,Gen_Chang_Hsu
20230629,10:00,Huazhong_bridge,5,Sunny,Gen_Chang_Hsu
20230630,10:00,Huajiang_bridge,0,Sunny,Gen_Chang_Hsu
20230701,10:00,Huajiang_bridge,1,Sunny,Gen_Chang_Hsu
20230702,9:30,Huazhong_bridge,1,Sunny,Gen_Chang_Hsu
20230703,10:00,Huajiang_bridge,0,Sunny,Gen_Chang_Hsu
20230704,10:00,Huazhong_bridge,1,Sunny,Gen_Chang_Hsu
20230705,10:00,Huazhong_bridge,1,Sunny,Gen_Chang_Hsu
20230706,10:00,Huazhong_bridge,2,Sunny,Gen_Chang_Hsu
20230707,10:00,Huajiang_bridge,0,Sunny,Gen_Chang_Hsu
20230708,10:30,Huajiang_bridge,0,Sunny,Gen_Chang_Hsu
20230709,10:00,Huajiang_bridge,0,Sunny,Gen_Chang_Hsu
20230710,10:00,Huajiang_bridge,1,Sunny,Gen_Chang_Hsu
20230711,10:00,Huajiang_bridge,0,Sunny,Gen_Chang_Hsu
20230712,10:00,Huajiang_bridge,0,Sunny,Gen_Chang_Hsu
20230713,10:00,Huajiang_bridge,0,Sunny,Gen_Chang_Hsu
20230714,10:00,Huajiang_bridge,0,Sunny,Gen_Chang_Hsu
20230715,10:00,Huajiang_bridge,1,Sunny,Gen_Chang_Hsu
20230715,10:00,Zhongxiao_bridge,1,Sunny,Gen_Chang_Hsu
20230716,10:00,Huajiang_bridge,0,Sunny,Gen_Chang_Hsu
20230716,10:00,Yongfu_bridge,1,Sunny,Gen_Chang_Hsu
20230718,10:00,Huajiang_bridge,2,Cloudy,Gen_Chang_Hsu
20230719,10:00,Huajiang_bridge,3,Sunny,Gen_Chang_Hsu
20230720,10:00,Huajiang_bridge,0,Sunny,Gen_Chang_Hsu
20230721,10:00,Huajiang_bridge,0,Sunny,Gen_Chang_Hsu
20230722,10:00,Huajiang_bridge,0,Sunny,Gen_Chang_Hsu
20230725,10:30,Huazhong_bridge,2,Sunny,Gen_Chang_Hsu
20230725,10:30,Huajiang_bridge,0,Sunny,Gen_Chang_Hsu
20230726,10:30,Huajiang_bridge,0,Rainy,Gen_Chang_Hsu
20230727,10:30,Huajiang_bridge,3,Cloudy,Gen_Chang_Hsu
20230728,10:30,Huajiang_bridge,0,Cloudy,Gen_Chang_Hsu
20230729,11:30,Huajiang_bridge,0,Cloudy,Gen_Chang_Hsu
20230730,10:30,Huajiang_bridge,0,Sunny,Gen_Chang_Hsu
20230731,11:00,Huajiang_bridge,0,Cloudy,Gen_Chang_Hsu
20230731,10:30,Zhongxiao_bridge,1,Cloudy,Gen_Chang_Hsu
20230801,11:00,Huajiang_bridge,0,Rainy,Gen_Chang_Hsu
20230802,10:00,Huajiang_bridge,0,Rainy,Gen_Chang_Hsu
20230804,11:00,Huajiang_bridge,0,Cloudy,Gen_Chang_Hsu
20230804,11:00,Huazhong_bridge,1,Cloudy,Gen_Chang_Hsu
20230805,11:30,Huajiang_bridge,4,Sunny,Gen_Chang_Hsu
20230806,10:30,Huajiang_bridge,1,Sunny_with_cloud,Gen_Chang_Hsu
20230807,10:30,Huajiang_bridge,0,Sunny,Gen_Chang_Hsu
20230808,11:30,Huajiang_bridge,0,Cloudy,Gen_Chang_Hsu
20230809,11:30,Huajiang_bridge,0,Sunny,Gen_Chang_Hsu
20230809,11:30,Huazhong_bridge,1,Sunny,Gen_Chang_Hsu
20230811,10:30,Huajiang_bridge,0,Sunny,Gen_Chang_Hsu
20230812,11:00,Huajiang_bridge,7,Sunny,Gen_Chang_Hsu
20230814,10:30,Huajiang_bridge,5,Sunny,Gen_Chang_Hsu
20230814,11:00,Zhongzheng_bridge,1,Sunny,Gen_Chang_Hsu
20230815,11:00,Huajiang_bridge,0,Sunny,Gen_Chang_Hsu
20230816,13:30,Huajiang_bridge,0,Rainy,Gen_Chang_Hsu
